type,id,project_added
node,900047,mn252hwyconvaccessoption1
node,900048,mn252hwyconvaccessoption1
link,1900097,mn252hwyconvaccessoption1
link,1900098,mn252hwyconvaccessoption1
link,1900099,mn252hwyconvaccessoption1
link,1900100,mn252hwyconvaccessoption1
link,1900101,mn252hwyconvaccessoption1
link,1900102,mn252hwyconvaccessoption1
link,1900103,mn252hwyconvaccessoption1
link,1900104,mn252hwyconvaccessoption1
link,1900105,mn252hwyconvaccessoption1
link,1900106,mn252hwyconvaccessoption1
link,1900107,mn252hwyconvaccessoption1
link,1900108,mn252hwyconvaccessoption1
link,1900109,mn252hwyconvaccessoption1
link,1900110,mn252hwyconvaccessoption1
link,1900111,mn252hwyconvaccessoption1
link,1900112,mn252hwyconvaccessoption1
link,1900113,mn252hwyconvaccessoption1
link,1900114,mn252hwyconvaccessoption1
link,1900115,mn252hwyconvaccessoption1
link,1900116,mn252hwyconvaccessoption1
link,1900117,mn252hwyconvaccessoption1
link,1900118,mn252hwyconvaccessoption1
link,1900119,mn252hwyconvaccessoption1
link,1900120,mn252hwyconvaccessoption1
link,1900121,mn252hwyconvaccessoption1
link,1900122,mn252hwyconvaccessoption1
link,1900123,mn252hwyconvaccessoption1
link,1900124,mn252hwyconvaccessoption1
link,1900125,mn252hwyconvaccessoption1
link,1900126,mn252hwyconvaccessoption1
link,1900127,mn252hwyconvaccessoption1
link,1900128,mn252hwyconvaccessoption1
link,1900129,mn252hwyconvaccessoption1
link,1900130,mn252hwyconvaccessoption1
link,1900131,mn252hwyconvaccessoption1
link,1900132,mn252hwyconvaccessoption1
node,550000,greenlineext
node,550001,greenlineext
node,550002,greenlineext
node,550003,greenlineext
node,550004,greenlineext
node,550005,greenlineext
node,550006,greenlineext
node,550007,greenlineext
node,550008,greenlineext
node,550009,greenlineext
node,550010,greenlineext
node,550011,greenlineext
node,550012,greenlineext
node,550013,greenlineext
node,550014,greenlineext
node,550015,greenlineext
node,550016,greenlineext
node,550017,greenlineext
node,550018,greenlineext
node,550019,greenlineext
node,550020,greenlineext
node,550021,greenlineext
node,550022,greenlineext
node,550023,greenlineext
node,550024,greenlineext
node,550025,greenlineext
node,550026,greenlineext
node,550027,greenlineext
node,550028,greenlineext
node,550029,greenlineext
node,550030,greenlineext
node,550031,greenlineext
node,550032,greenlineext
node,550033,greenlineext
node,550034,greenlineext
node,550035,greenlineext
node,550036,greenlineext
node,550037,greenlineext
link,1750233,greenlineext
link,1750234,greenlineext
link,1750235,greenlineext
link,1750236,greenlineext
link,1750237,greenlineext
link,1750238,greenlineext
link,1750239,greenlineext
link,1750240,greenlineext
link,1750241,greenlineext
link,1750242,greenlineext
link,1750243,greenlineext
link,1750244,greenlineext
link,1750245,greenlineext
link,1750246,greenlineext
link,1750247,greenlineext
link,1750248,greenlineext
link,1750249,greenlineext
link,1750250,greenlineext
link,1750251,greenlineext
link,1750252,greenlineext
link,1750253,greenlineext
link,1750254,greenlineext
link,1750255,greenlineext
link,1750256,greenlineext
link,1750257,greenlineext
link,1750258,greenlineext
link,1750259,greenlineext
link,1750260,greenlineext
link,1750261,greenlineext
link,1750262,greenlineext
link,1750263,greenlineext
link,1750264,greenlineext
link,1750265,greenlineext
link,1750266,greenlineext
link,1750267,greenlineext
link,1750268,greenlineext
link,1750269,greenlineext
link,1750270,greenlineext
link,1750271,greenlineext
link,1750272,greenlineext
link,1750273,greenlineext
link,1750274,greenlineext
link,1750275,greenlineext
